User_ID,Segment,Primary_Need,Preferred_Device,Budget_INR,Location
300,Commuter,Evidence,Smartphone Mount,2994,Bangalore
301,Commuter,Evidence,Smartphone Mount,4638,Tier-2 City
302,Fitness/Recreational,Scenery,Mid-range Action Cam,15902,Tier-2 City
303,Fitness/Recreational,Ease of Use,Smartphone Mount,18828,Pune
304,Fitness/Recreational,Ease of Use,Smartphone Mount,11488,Pune
305,Fitness/Recreational,Scenery,Smartphone Mount,5689,Mumbai
306,Enthusiast/Pro,Data Overlay,360 Cam,45032,Chennai
307,Fitness/Recreational,Ease of Use,Smartphone Mount,18410,Delhi
308,Commuter,Safety/Dashcam,Smartphone Mount,4785,Tier-2 City
309,Fitness/Recreational,Scenery,Smartphone Mount,13591,Tier-2 City
310,Commuter,Safety/Dashcam,Smartphone Mount,2138,Pune
311,Commuter,Safety/Dashcam,Smartphone Mount,1903,Chennai
312,Commuter,Safety/Dashcam,Smartphone Mount,4719,Tier-2 City
313,Commuter,Evidence,Smartphone Mount,2008,Delhi
314,Enthusiast/Pro,Stabilization,High-end Action Cam,38428,Pune
315,Fitness/Recreational,Ease of Use,Smartphone Mount,15331,Delhi
316,Fitness/Recreational,Scenery,Mid-range Action Cam,14956,Chennai
317,Commuter,Safety/Dashcam,Budget Action Cam,4981,Tier-2 City
318,Commuter,Evidence,Smartphone Mount,2793,Bangalore
319,Commuter,Evidence,Smartphone Mount,1400,Tier-2 City
320,Commuter,Safety/Dashcam,Smartphone Mount,2509,Chennai
321,Fitness/Recreational,Scenery,Mid-range Action Cam,7385,Tier-2 City
322,Fitness/Recreational,Social Sharing,360 Cam,5163,Tier-2 City
323,Fitness/Recreational,Social Sharing,Smartphone Mount,9795,Mumbai
324,Commuter,Battery Life,Smartphone Mount,2855,Tier-2 City
325,Enthusiast/Pro,Stabilization,High-end Action Cam,30749,Tier-2 City
326,Fitness/Recreational,Scenery,Smartphone Mount,17027,Delhi
327,Fitness/Recreational,Scenery,Smartphone Mount,19056,Bangalore
328,Fitness/Recreational,Social Sharing,Smartphone Mount,8493,Delhi
329,Commuter,Evidence,Budget Action Cam,2944,Delhi
330,Commuter,Safety/Dashcam,Budget Action Cam,516,Pune
331,Commuter,Safety/Dashcam,Budget Action Cam,1071,Mumbai
332,Fitness/Recreational,Social Sharing,Smartphone Mount,13433,Delhi
333,Commuter,Evidence,Smartphone Mount,2779,Chennai
334,Commuter,Safety/Dashcam,Budget Action Cam,3349,Chennai
335,Commuter,Battery Life,Smartphone Mount,578,Tier-2 City
336,Commuter,Safety/Dashcam,Smartphone Mount,1355,Pune
337,Enthusiast/Pro,Data Overlay,High-end Action Cam,27083,Mumbai
338,Fitness/Recreational,Social Sharing,Smartphone Mount,14223,Mumbai
339,Commuter,Safety/Dashcam,Smartphone Mount,4682,Tier-2 City
340,Commuter,Battery Life,Smartphone Mount,4006,Chennai
341,Commuter,Battery Life,Smartphone Mount,2168,Bangalore
342,Commuter,Safety/Dashcam,Smartphone Mount,2450,Pune
343,Commuter,Evidence,Budget Action Cam,4994,Tier-2 City
344,Commuter,Battery Life,Smartphone Mount,1062,Pune
345,Commuter,Battery Life,Smartphone Mount,1272,Chennai
346,Fitness/Recreational,Scenery,Mid-range Action Cam,15759,Chennai
347,Fitness/Recreational,Scenery,Smartphone Mount,18279,Bangalore
348,Commuter,Safety/Dashcam,Smartphone Mount,4339,Bangalore
349,Commuter,Safety/Dashcam,Budget Action Cam,3493,Mumbai
350,Fitness/Recreational,Ease of Use,Smartphone Mount,11979,Pune
351,Fitness/Recreational,Scenery,Smartphone Mount,17504,Pune
352,Enthusiast/Pro,Image Quality,High-end Action Cam,26910,Chennai
353,Fitness/Recreational,Scenery,Smartphone Mount,8747,Mumbai
354,Commuter,Battery Life,Budget Action Cam,2921,Tier-2 City
355,Commuter,Safety/Dashcam,Smartphone Mount,4483,Pune
356,Fitness/Recreational,Scenery,Smartphone Mount,18070,Mumbai
357,Commuter,Safety/Dashcam,Budget Action Cam,2730,Mumbai
358,Fitness/Recreational,Social Sharing,Smartphone Mount,10946,Chennai
359,Enthusiast/Pro,Image Quality,High-end Action Cam,27128,Mumbai
360,Fitness/Recreational,Scenery,360 Cam,7461,Bangalore
361,Commuter,Safety/Dashcam,Smartphone Mount,1185,Bangalore
362,Fitness/Recreational,Social Sharing,Mid-range Action Cam,17258,Delhi
363,Commuter,Evidence,Budget Action Cam,538,Chennai
364,Fitness/Recreational,Social Sharing,Smartphone Mount,16182,Tier-2 City
365,Enthusiast/Pro,Image Quality,360 Cam,27165,Delhi
366,Commuter,Safety/Dashcam,Budget Action Cam,801,Bangalore
367,Enthusiast/Pro,Image Quality,360 Cam,34571,Delhi
368,Enthusiast/Pro,Stabilization,High-end Action Cam,45237,Chennai
369,Commuter,Battery Life,Smartphone Mount,4368,Chennai
370,Commuter,Safety/Dashcam,Smartphone Mount,4808,Mumbai
371,Commuter,Battery Life,Smartphone Mount,4178,Pune
372,Commuter,Battery Life,Smartphone Mount,4683,Mumbai
373,Commuter,Safety/Dashcam,Smartphone Mount,2968,Chennai
374,Fitness/Recreational,Social Sharing,Mid-range Action Cam,13706,Bangalore
375,Commuter,Battery Life,Smartphone Mount,522,Tier-2 City
376,Commuter,Safety/Dashcam,Smartphone Mount,1804,Bangalore
377,Fitness/Recreational,Social Sharing,Smartphone Mount,13553,Mumbai
378,Commuter,Evidence,Smartphone Mount,1784,Tier-2 City
379,Fitness/Recreational,Ease of Use,360 Cam,18794,Chennai
380,Commuter,Evidence,Smartphone Mount,3020,Bangalore
381,Commuter,Evidence,Budget Action Cam,1422,Chennai
382,Fitness/Recreational,Scenery,Smartphone Mount,10132,Tier-2 City
383,Fitness/Recreational,Social Sharing,Mid-range Action Cam,19933,Tier-2 City
384,Enthusiast/Pro,Image Quality,360 Cam,30805,Bangalore
385,Fitness/Recreational,Social Sharing,Smartphone Mount,18944,Chennai
386,Fitness/Recreational,Scenery,Mid-range Action Cam,7634,Delhi
387,Commuter,Battery Life,Budget Action Cam,4395,Chennai
388,Commuter,Battery Life,Budget Action Cam,2679,Tier-2 City
389,Fitness/Recreational,Ease of Use,Smartphone Mount,14235,Chennai
390,Fitness/Recreational,Scenery,Mid-range Action Cam,5226,Mumbai
391,Enthusiast/Pro,Image Quality,High-end Action Cam,25588,Delhi
392,Commuter,Evidence,Smartphone Mount,2952,Pune
393,Commuter,Evidence,Smartphone Mount,4783,Mumbai
394,Fitness/Recreational,Social Sharing,Smartphone Mount,15512,Pune
395,Commuter,Battery Life,Budget Action Cam,3792,Bangalore
396,Enthusiast/Pro,Image Quality,360 Cam,36100,Pune
397,Enthusiast/Pro,Image Quality,High-end Action Cam,47523,Chennai
398,Commuter,Evidence,Smartphone Mount,1093,Pune
399,Fitness/Recreational,Ease of Use,Smartphone Mount,17347,Tier-2 City
400,Fitness/Recreational,Ease of Use,Smartphone Mount,10997,Mumbai
401,Commuter,Battery Life,Smartphone Mount,1632,Mumbai
402,Enthusiast/Pro,Image Quality,Drone,33428,Pune
403,Fitness/Recreational,Ease of Use,Mid-range Action Cam,15258,Mumbai
404,Fitness/Recreational,Social Sharing,Smartphone Mount,17470,Tier-2 City
405,Commuter,Safety/Dashcam,Smartphone Mount,1669,Mumbai
406,Enthusiast/Pro,Stabilization,High-end Action Cam,39194,Pune
407,Commuter,Battery Life,Budget Action Cam,1519,Delhi
408,Commuter,Evidence,Smartphone Mount,2948,Delhi
409,Enthusiast/Pro,Image Quality,360 Cam,49742,Bangalore
410,Commuter,Battery Life,Smartphone Mount,2625,Mumbai
411,Commuter,Battery Life,Budget Action Cam,3971,Pune
